date,user_id,group,converted
01.03.2023,100000,control,0
01.03.2023,100001,treatment,0
01.03.2023,100002,control,0
01.03.2023,100003,treatment,0
01.03.2023,100004,control,0
01.03.2023,100005,treatment,0
01.03.2023,100006,control,0
01.03.2023,100007,treatment,0
01.03.2023,100008,control,0
01.03.2023,100009,treatment,1
01.03.2023,100010,control,0
01.03.2023,100011,treatment,0
01.03.2023,100012,control,0
01.03.2023,100013,treatment,0
01.03.2023,100014,control,0
01.03.2023,100015,treatment,0
01.03.2023,100016,control,0
01.03.2023,100017,treatment,0
01.03.2023,100018,control,0
01.03.2023,100019,treatment,1
01.03.2023,100020,control,0
01.03.2023,100021,treatment,0
01.03.2023,100022,control,0
01.03.2023,100023,treatment,0
01.03.2023,100024,control,0
01.03.2023,100025,treatment,0
01.03.2023,100026,control,0
01.03.2023,100027,treatment,0
01.03.2023,100028,control,0
01.03.2023,100029,treatment,1
01.03.2023,100030,control,0
01.03.2023,100031,treatment,0
01.03.2023,100032,control,0
01.03.2023,100033,treatment,0
01.03.2023,100034,control,0
01.03.2023,100035,treatment,1
01.03.2023,100036,control,0
01.03.2023,100037,treatment,0
01.03.2023,100038,control,0
01.03.2023,100039,treatment,0
01.03.2023,100040,control,0
01.03.2023,100041,treatment,0
01.03.2023,100042,control,0
01.03.2023,100043,treatment,0
01.03.2023,100044,control,0
01.03.2023,100045,treatment,0
01.03.2023,100046,control,1
01.03.2023,100047,treatment,0
01.03.2023,100048,control,0
01.03.2023,100049,treatment,0
01.03.2023,100050,control,0
01.03.2023,100051,treatment,0
01.03.2023,100052,control,0
01.03.2023,100053,treatment,0
01.03.2023,100054,control,0
01.03.2023,100055,treatment,0
01.03.2023,100056,control,0
01.03.2023,100057,treatment,0
01.03.2023,100058,control,0
01.03.2023,100059,treatment,0
01.03.2023,100060,control,0
01.03.2023,100061,treatment,0
01.03.2023,100062,control,0
01.03.2023,100063,treatment,1
01.03.2023,100064,control,0
01.03.2023,100065,treatment,0
01.03.2023,100066,control,0
01.03.2023,100067,treatment,0
01.03.2023,100068,control,0
01.03.2023,100069,treatment,0
01.03.2023,100070,control,0
01.03.2023,100071,treatment,0
01.03.2023,100072,control,0
01.03.2023,100073,treatment,0
01.03.2023,100074,control,0
01.03.2023,100075,treatment,0
01.03.2023,100076,control,0
01.03.2023,100077,treatment,1
01.03.2023,100078,control,0
01.03.2023,100079,treatment,0
01.03.2023,100080,control,0
01.03.2023,100081,treatment,0
01.03.2023,100082,control,0
01.03.2023,100083,treatment,0
01.03.2023,100084,control,0
01.03.2023,100085,treatment,0
01.03.2023,100086,control,0
01.03.2023,100087,treatment,0
01.03.2023,100088,control,0
01.03.2023,100089,treatment,0
01.03.2023,100090,control,0
01.03.2023,100091,treatment,0
01.03.2023,100092,control,0
01.03.2023,100093,treatment,0
01.03.2023,100094,control,0
01.03.2023,100095,treatment,0
01.03.2023,100096,control,0
01.03.2023,100097,treatment,0
01.03.2023,100098,control,0
01.03.2023,100099,treatment,0
01.03.2023,100100,control,0
01.03.2023,100101,treatment,0
01.03.2023,100102,control,0
01.03.2023,100103,treatment,0
01.03.2023,100104,control,0
01.03.2023,100105,treatment,0
01.03.2023,100106,control,0
01.03.2023,100107,treatment,1
01.03.2023,100108,control,1
01.03.2023,100109,treatment,0
01.03.2023,100110,control,0
01.03.2023,100111,treatment,0
01.03.2023,100112,control,0
01.03.2023,100113,treatment,0
01.03.2023,100114,control,0
01.03.2023,100115,treatment,0
01.03.2023,100116,control,0
01.03.2023,100117,treatment,0
01.03.2023,100118,control,0
01.03.2023,100119,treatment,0
01.03.2023,100120,control,0
01.03.2023,100121,treatment,0
01.03.2023,100122,control,0
01.03.2023,100123,treatment,0
01.03.2023,100124,control,0
01.03.2023,100125,treatment,0
01.03.2023,100126,control,0
01.03.2023,100127,treatment,0
01.03.2023,100128,control,0
01.03.2023,100129,treatment,0
01.03.2023,100130,control,0
01.03.2023,100131,treatment,0
01.03.2023,100132,control,0
01.03.2023,100133,treatment,1
01.03.2023,100134,control,0
01.03.2023,100135,treatment,0
01.03.2023,100136,control,0
01.03.2023,100137,treatment,0
01.03.2023,100138,control,0
